p99,p133,p128,p131
983,720,848,909
534,754,868,981
505,646,737,983
517,497,635,983
203,270,623,897
156,152,479,734
228,93,420,601
144,89,214,442
137,175,75,411
75,53,48,173
71,0,55,39
48,9,23,0
41,58,51,3
7,146,125,80
0,151,222,163
0,216,281,391
0,470,436,576
0,756,689,851
0,905,947,983
15,983,983,983
41,983,983,983
41,893,983,983
48,983,983,983
33,983,983,983
33,983,983,981
61,983,983,983
73,983,983,983
116,983,983,983
123,983,983,983
129,877,926,983
119,617,913,925
147,757,538,983
174,531,581,983
181,398,679,983
198,481,745,931
274,544,921,983
277,895,983,983
417,983,983,983
422,983,983,983
478,983,983,983
706,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
